iter	Passed	Remaining
1567	22809	49924
1568	22830	49924
1569	22843	49905
1570	22856	49887
1571	22875	49883
1572	22896	49883
1573	22920	49888
1574	22946	49900
1575	22974	49914
1576	22996	49915
1577	23025	49931
1578	23049	49937
1579	23067	49930
1580	23094	49943
1581	23118	49948
1582	23145	49960
1583	23169	49966
1584	23192	49969
1585	23217	49977
1586	23252	50006
1587	23271	50001
1588	23292	50000
1589	23309	49990
1590	23331	49992
1591	23344	49974
1592	23367	49977
1593	23379	49956
1594	23402	49960
1595	23421	49954
1596	23439	49946
1597	23456	49936
1598	23488	49958
1599	23507	49953
1600	23524	49944
1601	23541	49933
1602	23569	49946
1603	23593	49951
1604	23609	49941
1605	23632	49943
1606	23647	49928
1607	23660	49909
1608	23671	49887
1609	23681	49863
1610	23692	49841
1611	23704	49820
1612	23724	49816
1613	23736	49796
1614	23759	49798
1615	23771	49779
1616	23789	49770
1617	23799	49746
1618	23809	49722
1619	23818	49695
1620	23828	49669
1621	23837	49644
1622	23846	49617
1623	23856	49594
1624	23867	49571
1625	23879	49550
1626	23888	49524
1627	23897	49498
1628	23907	49473
1629	23925	49464
1630	23952	49476
1631	23972	49472
1632	23993	49472
1633	24015	49471
1634	24026	49449
1635	24039	49430
1636	24056	49421
1637	24073	49411
1638	24100	49422
1639	24124	49426
1640	24150	49434
1641	24176	49442
1642	24210	49466
1643	24240	49483
1644	24273	49506
1645	24304	49525
1646	24336	49544
1647	24359	49546
1648	24392	49569
1649	24416	49572
1650	24438	49571
1651	24465	49582
1652	24485	49577
1653	24507	49577
1654	24532	49584
1655	24560	49594
1656	24588	49607
1657	24613	49613
1658	24641	49624
1659	24668	49633
1660	24686	49625
